RRsep[mm],Te_u[eV]
-106.40109867454,-106.40109867454
-101.926202389117,-101.926202389117
-97.4288649181576,-97.4288649181576
-92.9073291068707,-92.9073291068707
-88.3624061101715,-88.3624061101715
-83.7946591711478,-83.7946591711478
-79.2676328444431,-79.2676328444431
-74.6369735136649,-74.6369735136649
-69.9692772010889,-69.9692772010889
-65.2638271286674,-65.2638271286674
-60.5223120614407,-60.5223120614407
-55.7413415090788,-55.7413415090788
-50.9470986333669,-50.9470986333669
-46.0891780441839,-46.0891780441839
-41.1869313902991,-41.1869313902991
-36.2370680438946,-36.2370680438946
-31.2406782226391,-31.2406782226391
-26.1982069675735,-26.1982069675735
-21.0860688695391,-21.0860688695391
-15.9412296909116,-15.9412296909116
-10.778836129264,-10.778836129264
-5.5768949541657,-5.5768949541657
-0.338028016368735,-0.338028016368735
4.93976137163065,4.93976137163065
10.2408867903356,10.2408867903356
15.5923222457901,15.5923222457901
20.9825907337382,20.9825907337382
26.4129282800878,26.4129282800878
31.8842907002692,31.8842907002692
37.3952700321618,37.3952700321618
42.9418372630381,42.9418372630381
48.5347376585132,48.5347376585132
54.171001070858,54.171001070858
59.8517421797868,59.8517421797868
65.5754889070479,65.5754889070479
71.3452583372087,71.3452583372087
77.1524102153538,77.1524102153538
83.003121176797,83.003121176797
