rhop,Te_t[eV],s_Te_t[eV]
0.977347158193588,1.15656018257141,0.958988572710324
NaN,NaN,NaN
0.987740895204377,3.11172471110649,1.29653792972531
NaN,NaN,NaN
0.995680269598961,3.52043603282445,3.11627911914216
NaN,NaN,NaN
1.00520409953176,9.68157341647267,3.6797020090921
NaN,NaN,NaN
1.01120228950794,4.83412913292438,2.2528821703836
1.01728930606131,6.69065022846326,2.37446993694781
1.02213251571625,6.8741422970518,2.38468542596251
1.02654289167661,3.08404602237807,1.30648940808607
1.02818482816219,12.7025997688728,4.46208554434972
1.03254848749813,10.7028983287882,0.863689082279734
1.03732718605744,8.03335242663037,3.2742812054493
1.041697473526,7.25869626949072,2.33981043702438
