rhop,qW[MW/m2],s_qW[MW/m2]
0.978316406408946,0.0014375344166014,0.0012381347188588
NaN,NaN,NaN
0.987740895204377,0.011023984562779,0.00601390105342366
NaN,NaN,NaN
0.995081360042095,0.0422075424078354,0.0444880393920009
NaN,NaN,NaN
1.00520409953176,1.08092118476112,0.578892563872527
NaN,NaN,NaN
1.01119871001173,0.159418827151914,0.0987001095122411
1.01728930606131,0.111028289013773,0.0571173787223747
1.02213251571625,0.0750401916875464,0.036281319771366
1.02654289167661,0.0031710462351716,0.00392023012941466
1.02818482816219,0.0513114830394179,0.0303110524212144
1.03257504053283,0.0261906972106917,0.00817845486387079
1.03732718605744,0.0248869643348461,0.0130498503337257
1.041697473526,0.0207245261453775,0.00846423142408717
